"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.442015317","7.052067614","12.27019624","13.83786893","15.80320095","18.15042475","18.53074823","18.90153341","","","18.60699507","18.49800087","18.20952454","","","",
"Afghanistan","AFG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000829222","0.000877515","0.00193099","0.001878513","0.001831902","0.003570876","0.005207761","","0.004886478","0.004727136","0.004579031","0.020947642","0.02539529","0.082746786","",
"Angola","AGO","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.036807093","0.055720423","0.07326482","0.066520183","0.064187239","0.065309402","0.081733652","0.085705472","0.325960182","0.551237728","0.427352311","0.32540415","",
"Albania","ALB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.008833523","","0.330698001","2.139286969","3.105343723","3.58912099","4.380763184","5.48239253","6.254106746","7.120165025","8.307928706","9.1027793","10.361523","",
"Andorra","AND","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.638852803","4.920608893","8.239336866","13.11194796","18.04644961","22.40605687","24.65031421","27.16132699","29.01396109","30.76142374","32.63941964","34.32935584","36.31521149","39.34422027","42.04138145","44.54492302","",
"Arab World","ARB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.150306082547692","0.315320219874409","0.503747856542213","0.89296325016202","1.30378448285535","1.9544073843807","2.0912697150385","2.66989465627383","3.02941252909261","3.3901780480995","3.89385358931489","4.57844704314773","4.97070013538018","5.38096412545565","",
"United Arab Emirates","ARE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.012281797","0.062537144","0.25177148","0.474220126","0.810463686","1.373457624","2.82385084","4.590204715","6.283848276","8.087532879","9.005851905","9.513336503","9.99677716","10.72965612","11.56899371","12.03592777","13.48488394","13.99826659","29.380717","",
"Argentina","ARG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.250857258","0.390610876","0.675680491","1.401748719","2.367378841","4.00343134","6.504842205","7.71311722","8.605580959","9.771610825","10.97543337","12.23036065","14.69447819","15.16805073","15.79039594","16.47332124","17.71536838","",
"Armenia","ARM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000196679","0.000263687","0.000331367","0.033326535","0.066750323","","0.132967117","0.474482673","1.380884198","3.252550732","5.584019369","7.358040919","8.400112113","9.389688324","9.815697904","10.22867763","10.76008804","",
"American Samoa","ASM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
