"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.0713577270508","","","","","","","","","","96.7197799682617","","","","","","","","",
"Afghanistan","AFG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","4.98746013641357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.612060546875","","","","","","","",
"Angola","AGO","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.1944885253906","","","","","","","","","","","","","53.4072113037109","","","","",
"Albania","ALB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2522735595703","","","","","","","94.6818084716797","","","95.6914825439453","96.1360702514648","","","","","","",
"Andorra","AND","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","31.018949508667","31.5782699584961","32.1962509155273","32.8594703674316","33.6713714599609","34.1345710754395","35.1261596679688","36.007381439209","37.0360488891602","37.8138389587402","38.8740196228027","39.9032211303711","40.9912490844727","42.1643218994141","43.3098602294922","43.5852508544922","44.711311340332","45.7808685302734","47.671558380127","48.5205192565918","49.9379997253418","51.27001953125","52.7600517272949","53.8579292297363","55.2677612304688","57.6377601623535","58.954158782959","52.3949584960938","58.7096405029297","59.1344604492188","60.5037994384766","58.9337005615234","60.2280693054199","62.3255805969238","63.6998481750488","64.1760025024414","64.8187866210938","65.3571319580078","65.9526519775391","","",
"United Arab Emirates","ARE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","38.124870300293","","","","","","","","","","68.6612777709961","","","","","","","","","","","","","","","","","","","","91.4747467041016","","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","93.5808868408203","","","","","","","","","","","96.0413589477539","","","","","","","","","","97.1934127807617","","","","","98.5107727050781","","","99.0017623901367","98.9280700683594","98.9998397827148","99.0999526977539","99.0912094116211","98.9328231811523","99.2087707519531","99.1430969238281","","",
"Armenia","ARM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1501388549805","","","","","","","","","","","","99.1610717773438","","","","","","","","","","99.6903533935547","","","","","","","",
"American Samoa","ASM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","97.2199096679688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
